Axis,Line Label,X,Y,Marker,Marker Size,Marker Face Color,Marker Edge Color
Axes 1,$69.3 < \lambda \leq 140$,-599.5840000000001,5.308878261610721e-34,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-595.9792865731464,3.557578796838616e-33,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-592.3745731462926,2.3209501192303267e-32,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-588.769859719439,1.4741327784142093e-31,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-585.1651462925852,9.115215000367693e-31,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-581.5604328657315,5.4872752784437824e-30,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-577.9557194388778,3.2159263661620474e-29,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-574.3510060120241,1.834910822419752e-28,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-570.7462925851704,1.0192561613793205e-27,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-567.1415791583167,5.512025855812041e-27,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-563.536865731463,2.902008393094348e-26,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-559.9321523046093,1.4874610408050795e-25,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-556.3274388777555,7.422531553692776e-25,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-552.7227254509019,3.605936069605501e-24,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-549.1180120240482,1.70546774613449e-23,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-545.5132985971944,7.852871943820691e-23,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-541.9085851703408,3.5202461969811736e-22,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-538.303871743487,1.5363037048218158e-21,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-534.6991583166333,6.527406132384531e-21,None,6.0,#FFA600,#FFA600
