run,x,xerr,yvals_fproj,yerr_fproj,yvals_blambda,yerr_blambda
0,8.5734,0.0746,0.4059,0.0050,0.1594,0.0052
0,23.5357,0.2143,0.2634,0.0148,0.1027,0.0142
0,32.1049,0.3736,0.2404,0.0197,0.0981,0.0197
0,43.0942,0.6267,0.2205,0.0334,0.1101,0.0312
0,58.7459,1.3232,0.1344,0.0179,0.0401,0.0142
0,89.2204,7.4550,0.1354,0.0297,0.0535,0.0261
1,8.5707,0.0737,0.3906,0.0050,0.1544,0.0051
1,23.5876,0.1993,0.2532,0.0145,0.1044,0.0140
1,32.4813,0.3757,0.2361,0.0201,0.1045,0.0205
1,43.0163,0.6608,0.2072,0.0328,0.1019,0.0306
1,57.9052,1.3100,0.1273,0.0167,0.0448,0.0135
1,88.1119,8.7187,0.1098,0.0251,0.0426,0.0230
2,8.7938,0.0433,0.5021,0.0031,0.1305,0.0035
2,23.2589,0.1102,0.3441,0.0096,0.0683,0.0107
2,32.2546,0.2003,0.2986,0.0123,0.0547,0.0126
2,42.8757,0.3333,0.2638,0.0183,0.0482,0.0194
2,56.6916,0.7549,0.2178,0.0167,0.0239,0.0157
2,83.6904,2.7530,0.2124,0.0363,0.0675,0.0408
3,8.7692,0.0427,0.4592,0.0030,0.1112,0.0034
3,23.2851,0.1104,0.3224,0.0091,0.0717,0.0102
3,32.0417,0.1946,0.2796,0.0115,0.0545,0.0121
3,42.7194,0.3363,0.2343,0.0159,0.0353,0.0164
3,56.2243,0.6679,0.2079,0.0173,0.0276,0.0176
3,87.6616,3.4334,0.2071,0.0312,0.0730,0.0357
