run,x,xerr,yvals_fproj,yerr_fproj,yvals_blambda,yerr_blambda
0,8.6781,0.0752,0.4247,0.0058,0.1437,0.0055
0,23.4156,0.2018,0.2707,0.0159,0.0859,0.0141
0,31.9979,0.3512,0.2379,0.0180,0.0715,0.0168
0,43.0163,0.6536,0.2274,0.0341,0.0968,0.0297
0,59.7216,1.5253,0.1450,0.0214,0.0336,0.0181
0,84.7888,6.3225,0.1626,0.0336,0.0617,0.0274
1,8.6367,0.0747,0.3872,0.0059,0.1586,0.0053
1,23.5459,0.2107,0.2574,0.0168,0.1231,0.0161
1,32.1675,0.3672,0.2450,0.0248,0.1273,0.0239
1,43.0634,0.6296,0.2152,0.0364,0.1304,0.0336
1,58.8701,1.4776,0.1230,0.0180,0.0559,0.0160
1,79.3606,3.1660,0.1130,0.0304,0.0536,0.0255
2,8.8875,0.0455,0.5153,0.0038,0.1097,0.0037
2,23.3127,0.1161,0.3494,0.0114,0.0439,0.0115
2,32.1474,0.1962,0.2905,0.0144,0.0240,0.0135
2,42.7425,0.3561,0.2844,0.0205,0.0360,0.0203
2,57.3702,0.7884,0.2434,0.0185,0.0155,0.0185
2,88.5330,3.2958,0.2240,0.0347,0.0497,0.0369
3,8.9363,0.0452,0.4900,0.0038,0.1308,0.0034
3,23.4392,0.1118,0.3404,0.0113,0.0931,0.0114
3,32.1124,0.2024,0.3072,0.0143,0.0891,0.0137
3,42.5951,0.3339,0.2473,0.0201,0.0645,0.0194
3,56.5534,0.6613,0.1975,0.0193,0.0397,0.0170
3,86.6597,3.2693,0.2068,0.0448,0.0939,0.0486
