low, high, count_phot_panel0, count_old_specz_panel0, count_new_specz_panel0, count_any_specz_panel0, count_phot_panel1, count_old_specz_panel1, count_new_specz_panel1, count_any_specz_panel1count_phot_panel2, count_old_specz_panel2, count_new_specz_panel2, count_any_specz_panel2
0.000000,0.030303,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.030303,0.060606,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.060606,0.090909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.090909,0.121212,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.121212,0.151515,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.151515,0.181818,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.181818,0.212121,109414.000000,157.000000,10447.000000,10518.000000,2547.000000,23.000000,1599.000000,1609.000000,12767.000000,25.000000,2634.000000,2652.000000
0.212121,0.242424,321962.000000,1134.000000,27772.000000,28199.000000,5494.000000,76.000000,3422.000000,3450.000000,27652.000000,55.000000,6924.000000,6969.000000
0.242424,0.272727,329726.000000,1613.000000,28966.000000,29537.000000,4772.000000,210.000000,2993.000000,3069.000000,22377.000000,46.000000,7268.000000,7302.000000
0.272727,0.303030,322781.000000,1840.000000,28780.000000,29467.000000,4023.000000,446.000000,2511.000000,2667.000000,18771.000000,33.000000,7372.000000,7391.000000
0.303030,0.333333,317220.000000,1954.000000,28871.000000,29571.000000,3518.000000,650.000000,2263.000000,2473.000000,15932.000000,27.000000,7488.000000,7504.000000
0.333333,0.363636,313095.000000,1929.000000,28473.000000,29198.000000,3168.000000,798.000000,2013.000000,2287.000000,13840.000000,29.000000,7252.000000,7264.000000
0.363636,0.393939,305768.000000,1954.000000,28560.000000,29263.000000,2820.000000,867.000000,1777.000000,2060.000000,12252.000000,26.000000,7025.000000,7032.000000
0.393939,0.424242,300203.000000,1947.000000,28257.000000,29004.000000,2530.000000,925.000000,1595.000000,1914.000000,10631.000000,28.000000,6401.000000,6409.000000
0.424242,0.454545,288555.000000,1928.000000,27849.000000,28581.000000,2307.000000,1010.000000,1465.000000,1813.000000,9583.000000,17.000000,5721.000000,5727.000000
0.454545,0.484848,279573.000000,1862.000000,27274.000000,27995.000000,1947.000000,970.000000,1224.000000,1573.000000,8546.000000,27.000000,5165.000000,5175.000000
0.484848,0.515152,269465.000000,1829.000000,27167.000000,27868.000000,1803.000000,997.000000,1139.000000,1496.000000,7679.000000,22.000000,4639.000000,4649.000000
0.515152,0.545455,259290.000000,1775.000000,26897.000000,27565.000000,1718.000000,1060.000000,1094.000000,1454.000000,7108.000000,14.000000,4358.000000,4364.000000
0.545455,0.575758,250187.000000,1793.000000,26372.000000,27106.000000,1461.000000,966.000000,903.000000,1270.000000,6293.000000,16.000000,3789.000000,3795.000000
0.575758,0.606061,241078.000000,1721.000000,26322.000000,27017.000000,1377.000000,975.000000,862.000000,1221.000000,5869.000000,20.000000,3483.000000,3490.000000
0.606061,0.636364,230639.000000,1817.000000,26018.000000,26747.000000,1312.000000,939.000000,841.000000,1175.000000,5065.000000,15.000000,3046.000000,3053.000000
0.636364,0.666667,221517.000000,1899.000000,25336.000000,26125.000000,1261.000000,917.000000,795.000000,1133.000000,4807.000000,12.000000,2883.000000,2890.000000
0.666667,0.696970,212095.000000,1749.000000,25184.000000,25937.000000,1115.000000,776.000000,698.000000,991.000000,4308.000000,15.000000,2602.000000,2607.000000
