sample,low,high,density
0,-0.097122,-0.096467,0.032798
0,-0.096467,-0.095812,0.000000
0,-0.095812,-0.095157,0.000000
0,-0.095157,-0.094503,0.000000
0,-0.094503,-0.093848,0.000000
0,-0.093848,-0.093193,0.000000
0,-0.093193,-0.092538,0.000000
0,-0.092538,-0.091883,0.000000
0,-0.091883,-0.091228,0.000000
0,-0.091228,-0.090574,0.032798
0,-0.090574,-0.089919,0.000000
0,-0.089919,-0.089264,0.032798
0,-0.089264,-0.088609,0.000000
0,-0.088609,-0.087954,0.000000
0,-0.087954,-0.087299,0.000000
0,-0.087299,-0.086645,0.000000
0,-0.086645,-0.085990,0.000000
0,-0.085990,-0.085335,0.000000
0,-0.085335,-0.084680,0.000000
0,-0.084680,-0.084025,0.032798
0,-0.084025,-0.083370,0.000000
0,-0.083370,-0.082716,0.000000
0,-0.082716,-0.082061,0.000000
0,-0.082061,-0.081406,0.000000
0,-0.081406,-0.080751,0.065595
0,-0.080751,-0.080096,0.000000
0,-0.080096,-0.079441,0.032798
0,-0.079441,-0.078786,0.000000
0,-0.078786,-0.078132,0.032798
0,-0.078132,-0.077477,0.000000
0,-0.077477,-0.076822,0.065595
0,-0.076822,-0.076167,0.000000
0,-0.076167,-0.075512,0.000000
0,-0.075512,-0.074857,0.065595
0,-0.074857,-0.074203,0.065595
0,-0.074203,-0.073548,0.065595
0,-0.073548,-0.072893,0.065595
0,-0.072893,-0.072238,0.098393
0,-0.072238,-0.071583,0.065595
0,-0.071583,-0.070928,0.032798
0,-0.070928,-0.070274,0.131191
0,-0.070274,-0.069619,0.065595
0,-0.069619,-0.068964,0.163988
0,-0.068964,-0.068309,0.098393
0,-0.068309,-0.067654,0.065595
0,-0.067654,-0.066999,0.000000
0,-0.066999,-0.066345,0.065596
0,-0.066345,-0.065690,0.032798
0,-0.065690,-0.065035,0.098393
0,-0.065035,-0.064380,0.131191
0,-0.064380,-0.063725,0.000000
0,-0.063725,-0.063070,0.065596
0,-0.063070,-0.062416,0.393570
0,-0.062416,-0.061761,0.196786
0,-0.061761,-0.061106,0.098393
0,-0.061106,-0.060451,0.032798
0,-0.060451,-0.059796,0.131191
0,-0.059796,-0.059141,0.229584
0,-0.059141,-0.058487,0.262383
0,-0.058487,-0.057832,0.360775
0,-0.057832,-0.057177,0.262381
0,-0.057177,-0.056522,0.360775
0,-0.056522,-0.055867,0.229585
0,-0.055867,-0.055212,0.459168
0,-0.055212,-0.054557,0.229584
0,-0.054557,-0.053903,0.426372
0,-0.053903,-0.053248,0.295179
0,-0.053248,-0.052593,0.295179
0,-0.052593,-0.051938,0.459168
0,-0.051938,-0.051283,0.426372
0,-0.051283,-0.050628,0.557561
0,-0.050628,-0.049974,0.459168
0,-0.049974,-0.049319,0.852745
0,-0.049319,-0.048664,0.623156
0,-0.048664,-0.048009,0.688751
0,-0.048009,-0.047354,0.951133
0,-0.047354,-0.046699,0.393574
0,-0.046699,-0.046045,0.360775
0,-0.046045,-0.045390,0.688751
0,-0.045390,-0.044735,0.524763
0,-0.044735,-0.044080,0.852745
0,-0.044080,-0.043425,0.754347
0,-0.043425,-0.042770,0.819942
0,-0.042770,-0.042116,0.491968
0,-0.042116,-0.041461,0.459168
0,-0.041461,-0.040806,1.311907
0,-0.040806,-0.040151,0.819942
0,-0.040151,-0.039496,1.049532
0,-0.039496,-0.038841,1.410300
0,-0.038841,-0.038187,1.082324
0,-0.038187,-0.037532,0.852745
0,-0.037532,-0.036877,0.983931
0,-0.036877,-0.036222,1.246312
0,-0.036222,-0.035567,1.443098
0,-0.035567,-0.034912,1.016734
0,-0.034912,-0.034258,1.016734
0,-0.034258,-0.033603,1.115121
0,-0.033603,-0.032948,1.902266
0,-0.032948,-0.032293,1.705480
0,-0.032293,-0.031638,1.180717
0,-0.031638,-0.030983,1.115121
0,-0.030983,-0.030328,1.279110
0,-0.030328,-0.029674,1.607087
0,-0.029674,-0.029019,1.836691
0,-0.029019,-0.028364,1.639884
0,-0.028364,-0.027709,1.967861
0,-0.027709,-0.027054,1.738277
0,-0.027054,-0.026399,1.705480
0,-0.026399,-0.025745,1.541491
0,-0.025745,-0.025090,2.066254
0,-0.025090,-0.024435,1.935085
0,-0.024435,-0.023780,1.738277
0,-0.023780,-0.023125,2.000659
0,-0.023125,-0.022470,2.000659
0,-0.022470,-0.021816,2.394231
0,-0.021816,-0.021161,2.033456
0,-0.021161,-0.020506,2.558219
0,-0.020506,-0.019851,1.902287
0,-0.019851,-0.019196,2.000659
0,-0.019196,-0.018541,1.869468
0,-0.018541,-0.017887,2.361433
0,-0.017887,-0.017232,2.295838
0,-0.017232,-0.016577,2.066254
0,-0.016577,-0.015922,2.131849
0,-0.015922,-0.015267,2.394258
0,-0.015267,-0.014612,2.558219
0,-0.014612,-0.013958,2.197445
0,-0.013958,-0.013303,2.558219
0,-0.013303,-0.012648,2.656612
0,-0.012648,-0.011993,3.017387
0,-0.011993,-0.011338,2.623815
0,-0.011338,-0.010683,2.951825
0,-0.010683,-0.010029,3.082982
0,-0.010029,-0.009374,2.656612
0,-0.009374,-0.008719,3.574948
0,-0.008719,-0.008064,2.984589
0,-0.008064,-0.007409,3.804531
0,-0.007409,-0.006754,3.706138
0,-0.006754,-0.006099,4.034161
0,-0.006099,-0.005445,5.247629
0,-0.005445,-0.004790,6.690728
0,-0.004790,-0.004135,8.002635
0,-0.004135,-0.003480,15.054137
0,-0.003480,-0.002825,24.303084
0,-0.002825,-0.002170,39.914781
0,-0.002170,-0.001516,66.481662
0,-0.001516,-0.000861,113.250403
0,-0.000861,-0.000206,176.746719
0,-0.000206,0.000449,203.706416
0,0.000449,0.001104,155.067450
0,0.001104,0.001759,97.441919
0,0.001759,0.002413,57.625531
0,0.002413,0.003068,32.502875
0,0.003068,0.003723,21.548078
0,0.003723,0.004378,12.823894
0,0.004378,0.005033,10.232877
0,0.005033,0.005688,7.182693
0,0.005688,0.006342,4.985248
0,0.006342,0.006997,5.083641
0,0.006997,0.007652,4.919653
0,0.007652,0.008307,4.460536
0,0.008307,0.008962,4.198104
0,0.008962,0.009617,4.427687
0,0.009617,0.010271,3.640543
0,0.010271,0.010926,4.821260
0,0.010926,0.011581,4.657271
0,0.011581,0.012236,5.116439
0,0.012236,0.012891,4.460536
0,0.012891,0.013546,3.968520
0,0.013546,0.014200,4.526080
0,0.014200,0.014855,4.722867
0,0.014855,0.015510,4.886855
0,0.015510,0.016165,4.460485
0,0.016165,0.016820,3.673341
0,0.016820,0.017475,4.591728
0,0.017475,0.018130,3.935722
0,0.018130,0.018784,3.870127
0,0.018784,0.019439,4.657271
0,0.019439,0.020094,4.198104
0,0.020094,0.020749,4.001317
0,0.020749,0.021404,4.362092
0,0.021404,0.022059,4.034161
0,0.022059,0.022713,3.968520
0,0.022713,0.023368,3.706138
0,0.023368,0.024023,3.246971
0,0.024023,0.024678,3.673341
0,0.024678,0.025333,4.427687
0,0.025333,0.025988,4.427687
0,0.025988,0.026642,4.296545
0,0.026642,0.027297,4.001317
0,0.027297,0.027952,3.345364
0,0.027952,0.028607,4.296545
0,0.028607,0.029262,3.476515
0,0.029262,0.029917,3.771777
0,0.029917,0.030571,3.673299
0,0.030571,0.031226,4.394940
0,0.031226,0.031881,3.771691
0,0.031881,0.032536,3.247008
0,0.032536,0.033191,4.001272
0,0.033191,0.033846,3.673382
0,0.033846,0.034500,4.165353
0,0.034500,0.035155,3.443718
0,0.035155,0.035810,3.870171
0,0.035810,0.036465,3.837285
0,0.036465,0.037120,3.804575
0,0.037120,0.037775,3.804488
0,0.037775,0.038429,3.476594
0,0.038429,0.039084,3.509392
0,0.039084,0.039739,3.574907
0,0.039739,0.040394,3.115815
0,0.040394,0.041049,2.787771
0,0.041049,0.041704,2.984623
0,0.041704,0.042359,3.017353
0,0.042359,0.043013,3.640584
0,0.043013,0.043668,2.820633
0,0.043668,0.044323,3.082947
0,0.044323,0.044978,3.804575
0,0.044978,0.045633,3.017353
0,0.045633,0.046288,2.656643
0,0.046288,0.046942,2.525393
0,0.046942,0.047597,3.443796
0,0.047597,0.048252,2.197470
0,0.048252,0.048907,2.689379
0,0.048907,0.049562,3.476594
0,0.049562,0.050217,3.443718
0,0.050217,0.050871,2.591047
0,0.050871,0.051526,2.492596
0,0.051526,0.052181,2.361460
0,0.052181,0.052836,2.558248
0,0.052836,0.053491,2.427001
0,0.053491,0.054146,2.361460
0,0.054146,0.054800,2.099028
0,0.054800,0.055455,1.803893
0,0.055455,0.056110,2.230217
0,0.056110,0.056765,2.689441
0,0.056765,0.057420,2.459854
0,0.057420,0.058075,2.623785
0,0.058075,0.058729,2.131874
0,0.058729,0.059384,2.099028
0,0.059384,0.060039,2.066278
0,0.060039,0.060694,1.705460
0,0.060694,0.061349,1.607105
0,0.061349,0.062004,1.639903
0,0.062004,0.062659,1.574271
0,0.062659,0.063313,1.639903
0,0.063313,0.063968,1.475879
0,0.063968,0.064623,1.311922
0,0.064623,0.065278,1.475879
0,0.065278,0.065933,1.508711
0,0.065933,0.066588,1.475913
0,0.066588,0.067242,1.344690
0,0.067242,0.067897,1.115134
0,0.067897,0.068552,1.213501
0,0.068552,0.069207,0.918346
0,0.069207,0.069862,1.049514
0,0.069862,0.070517,1.147932
0,0.070517,0.071171,1.213528
0,0.071171,0.071826,1.049514
0,0.071826,0.072481,0.787153
0,0.072481,0.073136,0.852730
